"来源","区块/页面","key","中文","English","备注"
"i18n(页面模块)","tutorial","tutorial.steps[4].body","把同維度的牌湊齊目標張數即可歸檔。兩種觸發方式：
• 自摸碰（你自己回合內，每回合最多 1 次）→ 從你的「手牌 + 剛抽到的牌」裏挑選恰好「該維度目標張數」張同維度牌；
• 截胡碰（claim 窗口內先點先得）→ 從手牌挑選「該維度目標張數 − 1」張同維度牌，加上那張棄牌正好湊齊；
選錯維度、混入其他人格牌、張數不對 → 視爲「碰失敗」，會被罰停（見下「罰停」一節）。","Collect enough same-dimension cards to reach the target count and declare. Two ways to trigger:
• Self-draw Pong (during your own turn, at most once per turn) → with a drawn card and the cards in your hand, your cards are exactly that target count for a dimension;
• Claim Pong (first click wins, within the discard/claim window) → with a discarded card and the cards in your hand, your cards are exactly the target count for a dimension;
Wrong dimension, mixing in other traits, or wrong count → counts as a ""failed Pong"" and you are frozen (see ""Frozen"" below).",""
"i18n(页面模块)","tutorial","tutorial.steps[4].hint","系統不會告訴你「這個維度你夠了」，5 個未歸檔維度全部讓你選，需要自己判斷。","The system will not tell you ""you have enough for this dimension""; all 5 unsealed dimensions are offered, so you must judge for yourself.",""
"i18n(页面模块)","tutorial","tutorial.steps[5].title","食胡（宣佈勝利）","Win (Declare Victory)",""
"i18n(页面模块)","tutorial","tutorial.steps[5].body","當你的牌（已歸檔 + 手中 + 這張待判定牌）正好完成全部 5 個維度時，按下「食胡」。
觸發時機：
• 你的回合中（自摸食胡）；
• 任意人棄牌進入判讀窗口時（截胡食胡）。
判定不成立 → 食胡失敗，整副手牌公開並罰停。","When all of your cards exactly completes target counts for all 5 dimensions, press ""Win"".
When to trigger:
• During your own turn (self-draw Win);
• When anyone discards and the read window opens (claim Win).
If the judgement fails → the Win fails, your whole hand is revealed and you are frozen.",""
"i18n(页面模块)","tutorial","tutorial.steps[6].title","罰停（失敗的懲罰）","Frozen (the Penalty for Failure)",""
"i18n(页面模块)","tutorial","tutorial.steps[6].body","「碰失敗 / 自摸碰失敗 / 食胡失敗」三者懲罰相同：下次輪到你時罰停一回合，自動跳過（不抽牌、不出牌）後立即解除。
罰停期間：
• 你押錯的那幾張牌（碰 / 自摸碰）或整副手牌（食胡）立即公開；
• 任何人棄牌進入判讀窗口時，你都不能參與（不能碰、不能食胡）。
所有玩家都會在你頭像下看到「⛔ 罰停中」標識。","A ""failed Pong / failed self-draw Pong / failed Win"" all carry the same penalty: you are frozen for one turn — on your next turn it is auto-skipped (no draw, no discard) and then immediately cleared.
While frozen:
• The cards you wrongly bet (Pong / self-draw Pong) or your whole hand (Win) are revealed immediately;
• You cannot take part when anyone discards and the read window opens (no Pong, no Win).
All players see a ""⛔ Frozen"" badge under your avatar.",""
"i18n(页面模块)","tutorial","tutorial.steps[6].hint","一次誤判 ≈ 損失下一個出牌回合，務必想清楚再下手。罰停期間也不能宣告食胡。","One misjudgement ≈ losing your next discard turn, so think carefully before acting. You also cannot declare a Win while frozen.",""
"i18n(页面模块)","tutorial","tutorial.steps[7].title","查看 2 張牌（每回合 1 次）","View 2 Cards (once per turn)",""
"i18n(页面模块)","tutorial","tutorial.steps[7].body","手牌人格默認不顯示維度，必須靠記憶和推理。但你可以在自己回合開始抽完後，啓用「🔍 查看 2 張牌」一次性把 2 張手牌的真實維度揭開。本回合內有效，下回合自動重置。
用得好的玩家會優先看自己最不確定的牌，避免歸檔時混入錯誤。","Hand cards hide their dimension by default — you rely on memory and reasoning. But after drawing at the start of your turn, you can activate ""🔍 view 2 cards"" once to reveal the true dimensions of 2 hand cards. It applies this turn only and resets automatically next turn.
Good players prioritize their least-certain cards to avoid mixing errors when they declare.",""
"i18n(页面模块)","tutorial","tutorial.steps[8].title","知識牌（檔案註記）","Knowledge Cards",""
"i18n(页面模块)","tutorial","tutorial.steps[8].body","牌堆裏有一類無人格歸屬的「檔案註記 / 知識牌」 —— 內容是心理學課程概念（術語 + 定義）。它們不能用於歸檔，但也不會""穿幫""成錯誤維度。
用途：
• 抽到就丟，騰出手牌空間；
• 也是觀察對手心理風格的趣味設計（看對手怎麼挑這些中性牌可以暴露偏好）。","The draw pile contains a class of dimensionless ""Knowledge cards"" — their content is psychology course concepts (term + definition). They cannot be used to declare, but they also never ""out"" you as the wrong dimension.
Uses:
• Discard them when drawn to free up hand space;
• They are also a playful way to read opponents’ psychological styles (how an opponent picks these neutral cards can reveal preferences).",""
"i18n(页面模块)","tutorial","tutorial.steps[9].title","聯機 · 退出與輪轉","Online · Leaving & Rotation",""
"i18n(页面模块)","tutorial","tutorial.steps[9].body","聯機房 2–4 人，任何人點「退出對局」即從該桌退出 —— 不接管，剩下的玩家繼續打到分勝負。
• 退出者的座位永久跳過（看到「🚪 已退出對局」徽章）；
• 僅剩 1 人即自動宣告該玩家勝利；
• 你的回合超過 30 秒未操作會彈「請注意：現在是你的回合」提醒，每 30 秒重複一次直到你出牌。","An online room holds 2–4 players; anyone can tap ""Leave"" to exit the table — no takeover, the remaining players keep playing until a winner is decided.
• The leaver’s seat is permanently skipped (you see a ""🚪 Left the game"" badge);
• When only 1 player remains, that player is automatically declared the winner;
• If your turn goes more than 30 seconds without action, a ""Heads up: it’s your turn"" reminder pops, repeating every 30 seconds until you discard.",""
"i18n(页面模块)","tutorial","tutorial.steps[9].hint","同學號同時進入兩個活動房間會被拒絕 —— 防止兩個客戶端共享同一座位。","The same student ID entering two active rooms at once is rejected — preventing two clients from sharing one seat.",""
"i18n(页面模块)","tutorial","tutorial.steps[10].title","勝負與結算","Winning & Scoring",""
"i18n(页面模块)","tutorial","tutorial.steps[10].body","第一個完成全部 5 維度歸檔的玩家直接獲勝。若打滿約定輪數仍無人胡，則按排名結算：先比已歸檔維度數（多者勝），同數再比剩餘手牌（少者勝）。","The first player to declare all 5 dimensions wins outright. If the agreed rounds run out with no Win, ranking decides it: compare declared dimension counts first (more wins), then on a tie compare remaining hand cards (fewer wins).",""
"i18n(页面模块)","tutorial","tutorial.guideLabel","指引","Guide",""
"i18n(页面模块)","tutorial","tutorial.sandboxLabel","交互式沙盒","Interactive Sandbox",""
"i18n(页面模块)","tutorial","tutorial.sandboxReset","重置","Reset",""
"i18n(页面模块)","tutorial","tutorial.sandboxExit","退出沙盒","Exit Sandbox",""
"i18n(页面模块)","tutorial","tutorial.publicArchiveLabel","公開歸檔：","Declared:",""
"i18n(页面模块)","tutorial","tutorial.archiveNone","（暫無）","(none yet)",""
"i18n(页面模块)","tutorial","tutorial.archiveSetSuffix","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.drawPileClick","點擊抽牌 ↓","Tap to draw ↓",""
"i18n(页面模块)","tutorial","tutorial.drawPile","牌堆","Draw pile",""
"i18n(页面模块)","tutorial","tutorial.justDrawn","剛抽到","just drawn",""
"i18n(页面模块)","tutorial","tutorial.handEmpty","（手牌已清空）","(hand is empty)",""
"i18n(页面模块)","tutorial","tutorial.btnHu","食胡","Win",""
"i18n(页面模块)","tutorial","tutorial.btnViewTwo","查看 2 張","View 2",""
"i18n(页面模块)","tutorial","tutorial.btnContinueJudge","完成查看","Done viewing",""
"i18n(页面模块)","tutorial","tutorial.btnSelfPong","自摸碰","Self-draw Pong",""
"i18n(页面模块)","tutorial","tutorial.btnCancel","取消","Cancel",""
"i18n(页面模块)","tutorial","tutorial.btnSelfArchive","確認自摸碰","Confirm Pong",""
"i18n(页面模块)","tutorial","tutorial.btnContinue","繼續 →","Continue →",""
"i18n(页面模块)","tutorial","tutorial.btnPong","碰","Pong",""
"i18n(页面模块)","tutorial","tutorial.btnDiscard","棄牌","Discard",""
"i18n(页面模块)","tutorial","tutorial.btnContinueHu","進入食胡教學","Next: Win lesson",""
"i18n(页面模块)","tutorial","tutorial.btnSimDiscard","模擬別人棄牌","Simulate a discard",""
"i18n(页面模块)","tutorial","tutorial.btnPlayAgain","再來一遍","Play again",""
"i18n(页面模块)","tutorial","tutorial.targetBoardLabel","目標張數","Targets",""
"i18n(页面模块)","tutorial","tutorial.opSelfPong","自摸碰","Self-draw Pong",""
"i18n(页面模块)","tutorial","tutorial.opClaim","截胡碰","Claim Pong",""
"i18n(页面模块)","tutorial","tutorial.opHu","食胡","Win",""
"i18n(页面模块)","tutorial","tutorial.toastPongDone","自摸碰成功！","Self-draw Pong complete!",""
"i18n(页面模块)","tutorial","tutorial.toastClaimDone","截胡碰成功！","Claim Pong complete!",""
"i18n(页面模块)","tutorial","tutorial.toastHuDone","食胡成功！🏆","You win! 🏆",""
"i18n(页面模块)","tutorial","tutorial.pongStep1","第一步 · 選擇要歸檔的人格維度","Step 1 · Choose the dimension to declare",""
"i18n(页面模块)","tutorial","tutorial.pongStep2","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.penaltyDemo","罰停一回合演示：本輪不能參與別人棄牌的判讀窗口，下次輪到你時自動跳過。","Frozen-for-one-turn demo: you cannot join others’ read windows this round, and your next turn is auto-skipped.",""
"i18n(页面模块)","tutorial","tutorial.claimWho","小明棄出了一張線索牌","Xiao Ming discarded a clue card",""
"i18n(页面模块)","tutorial","tutorial.claimCardBodyA","從下方手牌選 ","From your hand below pick ",""
"i18n(页面模块)","tutorial","tutorial.claimCardBodyMid","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.claimCardBodyB","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.huDemoBox","食胡只在 5 個維度都完成時按。判定不成立會公開整副手牌並罰停，所以它是確認勝利，不是試探按鈕。","Press Win only when all 5 dimensions are complete. A failed judgement reveals your whole hand and freezes you, so it confirms victory — it is not a probing button.",""
"i18n(页面模块)","tutorial","tutorial.discardToEnd","出 1 張牌結束回合 ↓","Discard 1 card to end the turn ↓",""
"i18n(页面模块)","tutorial","tutorial.yourHand","你的手牌","Your hand",""
"i18n(页面模块)","tutorial","tutorial.cardsCountSuffix","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.captionStart","這是你的開局：手牌裏有多種人格描述和 1 張檔案註記。你需要先抽牌，再決定要查看、歸檔還是棄牌。","This is your opening: your hand has several personality descriptions and 1 Knowledge card. You must draw first, then decide whether to view, declare, or discard.",""
"i18n(页面模块)","tutorial","tutorial.captionViewing","每回合可以查看 2 張手牌的真實維度。點擊「查看 2 張」後，再繼續進入歸檔判斷。","Each turn you may view the true dimensions of 2 hand cards. After tapping ""View 2"", continue on to the declaration judgement.",""
"i18n(页面模块)","tutorial","tutorial.captionAfterDraw","看牌桌上方的「目標張數」：神經質要 4 張。數數高亮的手牌——正好 4 張神經質，湊夠了！點高亮的「自摸碰」開始。","Look at the ""Targets"" board above: Neuroticism needs 4. Count the highlighted hand cards — exactly 4 Neuroticism, just enough! Tap the highlighted ""Self-draw Pong"" to start.",""
"i18n(页面模块)","tutorial","tutorial.captionPongDimension","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.captionPongPickingDone","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.captionPongPicking","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.captionPongFailed","失敗會公開你押錯的牌並罰停一回合（下次輪到你時自動跳過）。點「繼續」回到選牌模式。","A failure reveals the cards you wrongly bet and freezes you for one turn (your next turn is auto-skipped). Tap ""Continue"" to return to card-picking.",""
"i18n(页面模块)","tutorial","tutorial.captionPongSuccess","自摸碰成功！4 張公開歸檔鎖定。現在點一張手牌準備棄掉，結束回合。","Self-draw Pong complete! 4 cards are locked in the declared area. Now tap a hand card to discard and end the turn.",""
"i18n(页面模块)","tutorial","tutorial.captionDiscardConfirm","確認要棄這張嗎？點「棄牌」結束回合，或「取消」換一張。","Discard this one? Tap ""Discard"" to end the turn, or ""Cancel"" to pick another.",""
"i18n(页面模块)","tutorial","tutorial.captionClaimWindow","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.captionClaimWindowFallback","現在是別人棄牌後的判讀窗口。你可以截胡碰，也可以在已經滿足全部目標時食胡。","This is the read window after someone discards. You can Claim Pong, or Win if you have already met every target.",""
"i18n(页面模块)","tutorial","tutorial.captionClaimSuccess","截胡碰也會形成公開歸檔。下一步示範「食胡」（宣告勝利）。","A Claim Pong also forms a declaration. Next, a demo of ""Win"".",""
"i18n(页面模块)","tutorial","tutorial.captionHuDemo","食胡是勝利按鈕，只在所有目標完成時使用。失敗成本很高，所以不要拿它試錯。","Win is the victory button, used only when all targets are complete. Failure is costly, so do not use it for trial and error.",""
"i18n(页面模块)","tutorial","tutorial.captionHuWindow","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.captionHuSuccess","食胡成功！五個維度全部集齊，你贏了。","You win! All 5 dimensions are complete.",""
"i18n(页面模块)","tutorial","tutorial.captionDiscardPicking","點擊要棄的牌。","Tap the card to discard.",""
"i18n(页面模块)","tutorial","tutorial.captionDone","你的回合結束。下一步模擬別人棄牌後的「碰 / 食胡」窗口。","Your turn is over. Next, simulate the ""Pong / Win"" window after someone else discards.",""
"i18n(页面模块)","tutorial","tutorial.fbDraw","抽到一張線索牌。現在選擇很多，先演示「查看 2 張牌」。","Drew a clue card. There are many options now — first let’s demo ""view 2 cards"".",""
"i18n(页面模块)","tutorial","tutorial.fbViewTwo","本回合查看了 2 張牌：一張盡責性，一張神經質。真實牌局裏只會揭開你選的 2 張。","This turn you viewed 2 cards: one Conscientiousness, one Neuroticism. In a real game only the 2 you pick are revealed.",""
"i18n(页面模块)","tutorial","tutorial.fbFinishView","現在你知道剛抽到的牌能補齊一組。下一步演示自摸碰。","Now you know the just-drawn card can complete a set. Next, a demo of Self-draw Pong.",""
"i18n(页面模块)","tutorial","tutorial.fbOpenPong","自摸碰要先選定一個人格維度。提示：手牌裏有 4 張「神經質」，選它。","Self-draw Pong needs you to fix a dimension first. Hint: your hand has 4 ""Neuroticism"" cards — choose it.",""
"i18n(页面模块)","tutorial","tutorial.fbChooseDim","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbPongSuccess","歸檔成功。4 張進入公開歸檔區，歸檔後必須立即棄 1 張牌。","Declared. The 4 cards enter the open declaration area; after declaring you must immediately discard 1 card.",""
"i18n(页面模块)","tutorial","tutorial.fbPongFailWrongCount","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbPongFailWrongDim","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbPongFail","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbContinueAfterFail","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbPickDiscard","出牌完成。現在切到別人棄牌時，你如何響應「碰 / 食胡」。","Discard done. Now switching to how you respond with ""Pong / Win"" when someone else discards.",""
"i18n(页面模块)","tutorial","tutorial.fbOpenClaim","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbClaimFail","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbClaimSuccess","截胡碰成功。你用手裏 2 張同類牌 + 對手棄牌完成了一組公開歸檔。","Claim Pong succeeded. You completed a declaration using 2 same-type cards from your hand + the opponent’s discard.",""
"i18n(页面模块)","tutorial","tutorial.fbShowHu","食胡用於宣佈勝利：當 5 個維度全部完成時按下。誤按會公開整副手牌並罰停。","Win declares victory: press it when all 5 dimensions are complete. Pressing it by mistake reveals your whole hand and freezes you.",""
"i18n(页面模块)","tutorial","tutorial.fbWrongDimHint","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbEnterHu","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fbHuSuccess","食胡成功！五維集齊，宣告勝利。","You win! All 5 dimensions complete — victory declared.",""
"i18n(页面模块)","tutorial","tutorial.huWho","對手打出一張人格牌","An opponent discards a personality card",""
"i18n(页面模块)","tutorial","tutorial.huBody","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.huGapSuffix","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.fallbackDimName","該維度","that dimension",""
"i18n(页面模块)","tutorial","tutorial.shotPvpTitle","聯機流程截圖示意","Online Flow Mockup",""
"i18n(页面模块)","tutorial","tutorial.shotSoloTitle","單機流程截圖示意","Single-Player Flow Mockup",""
"i18n(页面模块)","tutorial","tutorial.shotStaticBadge","靜態示意","Static mockup",""
"i18n(页面模块)","tutorial","tutorial.shotProductName","人格麻將","Personalities Mahjong",""
"i18n(页面模块)","tutorial","tutorial.shotPvp","聯機對戰","Online Match",""
"i18n(页面模块)","tutorial","tutorial.shotSolo","單機對戰","Single Player",""
"i18n(页面模块)","tutorial","tutorial.shotPlayerInfo","玩家信息","Player Info",""
"i18n(页面模块)","tutorial","tutorial.shotStudentId","學號","Student ID",""
"i18n(页面模块)","tutorial","tutorial.shotEnterStudentId","請輸入學號","Enter your student ID",""
"i18n(页面模块)","tutorial","tutorial.shotConfirmStudentId","確認學號","Confirm Student ID",""
"i18n(页面模块)","tutorial","tutorial.shotReenterStudentId","再次輸入學號確認","Re-enter your student ID",""
"i18n(页面模块)","tutorial","tutorial.shotAssessedTrue","已完成測評","Assessment completed",""
"i18n(页面模块)","tutorial","tutorial.shotAssessedTrueBody","直接生成本局目標張數。","Generate this game’s target counts directly.",""
"i18n(页面模块)","tutorial","tutorial.shotAssessedFalse","未完成測評","Assessment not completed",""
"i18n(页面模块)","tutorial","tutorial.shotAssessedFalseBody","先去答題，再回到大廳。","Take the test first, then return to the lobby.",""
"i18n(页面模块)","tutorial","tutorial.shotCreateRoom","創建房間","Create Room",""
"i18n(页面模块)","tutorial","tutorial.shotRoomCode","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","tutorial","tutorial.shotJoinRoom","加入房間","Join Room",""
"i18n(页面模块)","tutorial","tutorial.shotEnter4Code","輸入 4 位房間碼","Enter the 4-digit room code",""
"i18n(页面模块)","tutorial","tutorial.shotHost","房主","Host",""
"i18n(页面模块)","tutorial","tutorial.shotReady","已就緒","Ready",""
"i18n(页面模块)","tutorial","tutorial.shotStartGame","開始遊戲","Start Game",""
"i18n(页面模块)","tutorial","tutorial.shotStartMatch","開始對戰","Start Match",""
"i18n(页面模块)","tutorial","tutorial.shotYou","你","You",""
"i18n(页面模块)","tutorial","tutorial.shotDifficulties[0]","簡單","Easy",""
"i18n(页面模块)","tutorial","tutorial.shotDifficulties[1]","中等","Medium",""
"i18n(页面模块)","tutorial","tutorial.shotDifficulties[2]","困難","Hard",""
"i18n(页面模块)","tutorial","tutorial.shotRounds[0]","5輪","5 rds",""
"i18n(页面模块)","tutorial","tutorial.shotRounds[1]","10輪","10 rds",""
"i18n(页面模块)","tutorial","tutorial.shotRounds[2]","15輪","15 rds",""
"i18n(页面模块)","tutorial","tutorial.shotRounds[3]","無限","Unlimited",""
"i18n(页面模块)","tutorial","tutorial.shotAiOpponents[0]","小明","Xiao Ming",""
"i18n(页面模块)","tutorial","tutorial.shotAiOpponents[1]","林教授","Prof. Lin",""
"i18n(页面模块)","tutorial","tutorial.shotAiOpponents[2]","老陳","Old Chen",""
"i18n(页面模块)","tutorial","tutorial.shotAiOpponentLabel","AI 對手","AI opponent",""
"未i18n(硬编码)","results","literal.1","Final Persona Spread","Final Persona Spread",""
"未i18n(硬编码)","FeedbackLayer.tsx","literal.2","Your Turn","Your Turn",""
